
   INFO  Server running on [http://127.0.0.1:8000].

  Press Ctrl+C to stop the server

  2026-02-16 21:37:05 /login ..................................... ~ 500.62ms
  2026-02-16 21:37:06 /build/assets/app-992a4fb0.css ............... ~ 0.08ms
  2026-02-16 21:37:06 /build/assets/rubick-d2eb4c5b.png ............ ~ 0.52ms
  2026-02-16 21:37:06 /build/assets/dom-99fd0146.js ................ ~ 0.33ms
  2026-02-16 21:37:06 /build/assets/tailwind-merge-9b07a190.js ..... ~ 0.81ms
  2026-02-16 21:37:06 /build/assets/modal-8e103543.js .............. ~ 1.10ms
  2026-02-16 21:37:06 /build/assets/theme-color-2e9362d9.js ........ ~ 1.53ms
  2026-02-16 21:37:06 /build/assets/lucide-005f7c06.js ............. ~ 1.81ms
  2026-02-16 21:37:06 /build/assets/lucide-5755dfe2.js ............. ~ 0.07ms
  2026-02-16 21:37:06 /build/assets/icewall-dfd84f90.png ........... ~ 0.47ms
  2026-02-16 21:37:06 /build/assets/tinker-b3341c3d.png ............ ~ 0.05ms
  2026-02-16 21:37:06 /build/assets/enigma-29c5d58f.png ............ ~ 0.04ms
  2026-02-16 21:37:06 /build/assets/logo-9a88cec5.svg .............. ~ 0.09ms
  2026-02-16 21:37:06 /build/assets/side-menu-50e30ced.png ......... ~ 0.50ms
  2026-02-16 21:37:06 /build/assets/simple-menu-d036b577.png ....... ~ 0.79ms
  2026-02-16 21:37:06 /build/assets/top-menu-6bd15a6f.png .......... ~ 1.16ms
  2026-02-16 21:37:06 /build/assets/illustration-bbfd1da0.svg ...... ~ 0.04ms
  2026-02-16 21:37:07 /login ..................................... ~ 500.67ms
  2026-02-16 21:37:08 /dashboard-overview-1 ............................ ~ 1s
  2026-02-16 21:37:09 /build/assets/tippy-2114d032.css ............. ~ 0.33ms
  2026-02-16 21:37:09 /build/assets/side-nav-f137ceba.css .......... ~ 1.58ms
  2026-02-16 21:37:09 /build/assets/simplebar-6c874a94.css ......... ~ 2.31ms
  2026-02-16 21:37:09 /build/assets/mobile-menu-3f10e362.css ....... ~ 3.04ms
  2026-02-16 21:37:09 /build/assets/app-992a4fb0.css ............... ~ 0.24ms
  2026-02-16 21:37:09 /build/assets/tippy-2e9cf08a.js .............. ~ 5.17ms
  2026-02-16 21:37:09 /build/assets/popper-0e930465.js ............. ~ 6.17ms
  2026-02-16 21:37:09 /build/assets/simplebar-d3581fbe.js .......... ~ 3.15ms
  2026-02-16 21:37:09 /build/assets/_commonjsHelpers-725317a4.js ... ~ 3.55ms
  2026-02-16 21:37:09 /build/assets/transition-7f89bf19.js ......... ~ 3.70ms
  2026-02-16 21:37:09 /build/assets/popper-dfd1031a.js ............. ~ 0.54ms
  2026-02-16 21:37:09 /build/assets/dropdown-c87bd42d.js ........... ~ 0.70ms
  2026-02-16 21:37:09 /build/assets/tippy-683e4994.js .............. ~ 1.06ms
  2026-02-16 21:37:09 /build/assets/kindergarten-b43e29ef.js ....... ~ 1.52ms
  2026-02-16 21:37:09 /build/assets/mobile-menu-e1a214a8.js ........ ~ 1.75ms
  2026-02-16 21:37:09 /build/assets/dom-99fd0146.js ................ ~ 1.62ms
  2026-02-16 21:37:09 /build/assets/tailwind-merge-9b07a190.js ..... ~ 0.61ms
  2026-02-16 21:37:09 /build/assets/modal-8e103543.js .............. ~ 0.79ms
  2026-02-16 21:37:09 /build/assets/lucide-005f7c06.js ............. ~ 1.27ms
  2026-02-16 21:37:09 /build/assets/theme-color-2e9362d9.js ........ ~ 1.64ms
  2026-02-16 21:37:09 /build/assets/lucide-5755dfe2.js ............. ~ 1.89ms
  2026-02-16 21:37:09 /build/assets/rubick-d2eb4c5b.png ............ ~ 0.06ms
  2026-02-16 21:37:09 /build/assets/logo-9a88cec5.svg .............. ~ 0.06ms
  2026-02-16 21:37:09 /build/assets/tinker-b3341c3d.png ............ ~ 0.56ms
  2026-02-16 21:37:09 /build/assets/icewall-dfd84f90.png ........... ~ 1.58ms
  2026-02-16 21:37:09 /build/assets/enigma-29c5d58f.png ............ ~ 1.34ms
  2026-02-16 21:37:09 /build/assets/side-menu-50e30ced.png ......... ~ 0.05ms
  2026-02-16 21:37:09 /build/assets/simple-menu-d036b577.png ....... ~ 0.33ms
  2026-02-16 21:37:09 /build/assets/top-menu-6bd15a6f.png .......... ~ 0.05ms
  2026-02-16 21:37:09 /settings ........................................ ~ 1s
  2026-02-16 21:37:10 /build/assets/simplebar-6c874a94.css ......... ~ 0.11ms
  2026-02-16 21:37:10 /build/assets/mobile-menu-3f10e362.css ....... ~ 0.41ms
  2026-02-16 21:37:10 /build/assets/tippy-2114d032.css ............. ~ 0.63ms
  2026-02-16 21:37:10 /build/assets/side-nav-f137ceba.css .......... ~ 1.12ms
  2026-02-16 21:37:10 /build/assets/dom-99fd0146.js ................ ~ 0.39ms
  2026-02-16 21:37:10 /build/assets/app-992a4fb0.css ............... ~ 2.05ms
  2026-02-16 21:37:10 /build/assets/tailwind-merge-9b07a190.js ..... ~ 2.85ms
  2026-02-16 21:37:10 /build/assets/rubick-d2eb4c5b.png ............ ~ 4.10ms
  2026-02-16 21:37:10 /build/assets/lucide-005f7c06.js ............. ~ 3.46ms
  2026-02-16 21:37:10 /build/assets/tippy-2e9cf08a.js .............. ~ 0.52ms
  2026-02-16 21:37:10 /build/assets/popper-0e930465.js ............. ~ 0.92ms
  2026-02-16 21:37:10 /build/assets/simplebar-d3581fbe.js .......... ~ 0.85ms
  2026-02-16 21:37:10 /build/assets/_commonjsHelpers-725317a4.js ... ~ 1.20ms
  2026-02-16 21:37:10 /build/assets/transition-7f89bf19.js ......... ~ 0.17ms
  2026-02-16 21:37:10 /build/assets/modal-8e103543.js .............. ~ 0.47ms
  2026-02-16 21:37:10 /build/assets/popper-dfd1031a.js ............. ~ 0.86ms
  2026-02-16 21:37:10 /build/assets/dropdown-c87bd42d.js ........... ~ 1.41ms
  2026-02-16 21:37:10 /build/assets/theme-color-2e9362d9.js ........ ~ 1.84ms
  2026-02-16 21:37:10 /build/assets/lucide-5755dfe2.js ............. ~ 2.10ms
  2026-02-16 21:37:10 /build/assets/kindergarten-b43e29ef.js ....... ~ 0.07ms
  2026-02-16 21:37:10 /build/assets/mobile-menu-e1a214a8.js ........ ~ 0.30ms
  2026-02-16 21:37:10 /build/assets/logo-9a88cec5.svg .............. ~ 0.06ms
  2026-02-16 21:37:10 /build/assets/icewall-dfd84f90.png ........... ~ 0.59ms
  2026-02-16 21:37:10 /build/assets/tinker-b3341c3d.png ............ ~ 1.00ms
  2026-02-16 21:37:10 /build/assets/enigma-29c5d58f.png ............ ~ 1.34ms
  2026-02-16 21:37:10 /build/assets/side-menu-50e30ced.png ......... ~ 1.75ms
  2026-02-16 21:37:10 /build/assets/simple-menu-d036b577.png ....... ~ 0.34ms
  2026-02-16 21:37:10 /build/assets/top-menu-6bd15a6f.png .......... ~ 0.04ms
  2026-02-16 21:37:10 /attendances/create ........................ ~ 500.54ms
  2026-02-16 21:37:11 /build/assets/tom-select-f7c9484a.css ........ ~ 0.11ms
  2026-02-16 21:37:11 /build/assets/tippy-2114d032.css ............. ~ 0.39ms
  2026-02-16 21:37:11 /build/assets/side-nav-f137ceba.css .......... ~ 0.91ms
  2026-02-16 21:37:11 /build/assets/simplebar-6c874a94.css ......... ~ 1.26ms
  2026-02-16 21:37:11 /build/assets/mobile-menu-3f10e362.css ....... ~ 1.57ms
  2026-02-16 21:37:11 /build/assets/app-992a4fb0.css ............... ~ 0.97ms
  2026-02-16 21:37:11 /build/assets/tom-select-c8b3e4f4.js ......... ~ 1.50ms
  2026-02-16 21:37:11 /build/assets/tom-select-0edec986.js ......... ~ 2.62ms
  2026-02-16 21:37:11 /build/assets/dom-99fd0146.js ................ ~ 1.38ms
  2026-02-16 21:37:11 /build/assets/tailwind-merge-9b07a190.js ..... ~ 1.88ms
  2026-02-16 21:37:11 /build/assets/tippy-2e9cf08a.js .............. ~ 1.32ms
  2026-02-16 21:37:11 /build/assets/lucide-005f7c06.js ............. ~ 1.78ms
  2026-02-16 21:37:11 /build/assets/popper-0e930465.js ............. ~ 0.14ms
  2026-02-16 21:37:11 /build/assets/simplebar-d3581fbe.js .......... ~ 0.59ms
  2026-02-16 21:37:11 /build/assets/_commonjsHelpers-725317a4.js ... ~ 0.92ms
  2026-02-16 21:37:11 /build/assets/transition-7f89bf19.js ......... ~ 1.06ms
  2026-02-16 21:37:11 /build/assets/modal-8e103543.js .............. ~ 1.33ms
  2026-02-16 21:37:11 /build/assets/popper-dfd1031a.js ............. ~ 1.01ms
